5. Number of Instances: 5473.

6. Number of Attributes

   height:   integer.         | Height of the block.
   lenght:   integer.     | Length of the block.
   area:     integer.    | Area of the block (height * lenght);
   eccen:    continuous.  | Eccentricity of the block (lenght / height);
   p_black:  continuous.  | Percentage of black pixels within the block (blackpix / area);
   p_and:    continuous.        | Percentage of black pixels after the application of the Run Length Smoothing Algorithm (RLSA) (blackand / area);
   mean_tr:  continuous.      | Mean number of white-black transitions (blackpix / wb_trans);
   blackpix: integer.    | Total number of black pixels in the original bitmap of the block.
   blackand: integer.        | Total number of black pixels in the bitmap of the block after the RLSA.
   wb_trans: integer.          | Number of white-black transitions in the original bitmap of the block.



7. Missing Attribute Values:  No missing value.

8. Class Distribution:

                                           Valid    Cum
   Class               Frequency  Percent  Percent  Percent

text                      4913     89.8     89.8     89.8
horiz. line                329      6.0      6.0     95.8
graphic                     28       .5       .5     96.3
vert. line                  88      1.6      1.6     97.9
picture                    115      2.1      2.1    100.0
                                -------  -------  -------
                        TOTAL      5473    100.0    100.0

Summary Statistics:

Variable      Mean    Std Dev   Minimum   Maximum   Correlation

HEIGHT       10.47      18.96         1       804         .3510
LENGTH       89.57     114.72         1       553        -.0045
AREA       1198.41    4849.38         7    143993         .2343
ECCEN        13.75      30.70      .007    537.00         .0992
P_BLACK        .37        .18      .052      1.00         .2130
P_AND          .79        .17      .062      1.00        -.1771
MEAN_TR       6.22      69.08      1.00   4955.00         .0723
BLACKPIX    365.93    1270.33         7     33017         .1656
BLACKAND    741.11    1881.50         7     46133         .1565
WB_TRANS    106.66     167.31         1      3212         .0337


   5   7     35  1.400 .400 .657     2.33     14     23      6 1
   6   7     42  1.167 .429 .881     3.60     18     37      5 1
   6  18    108  3.000 .287 .741     4.43     31     80      7 1
   5   7     35  1.400 .371 .743     4.33     13     26      3 1
   6   3     18   .500 .500 .944     2.25      9     17      4 1
   5   8     40  1.600 .550 1.00     2.44     22     40      9 1
   6   4     24   .667 .417 .708     2.50     10     17      4 1
   5   6     30  1.200 .333 .333    10.00     10     10      1 1
   5   5     25  1.000 .400 .520    10.00     10     13      1 1
   5   7     35  1.400 .486 .914     8.50     17     32      2 1
   5   2     10   .400 .800 1.00     8.00      8     10      1 1
   5   3     15   .600 .533 .733     8.00      8     11      1 1
   5   6     30  1.200 .433 .733    13.00     13     22      1 1
   5   7     35  1.400 .429 .857     5.00     15     30      3 1
   6   7     42  1.167 .405 .881     4.25     17     37      4 1
   5   8     40  1.600 .375 .475    15.00     15     19      1 1
   6   7     42  1.167 .405 .952     4.25     17     40      4 1
   5  19     95  3.800 .232 .400     5.50     22     38      4 1
   5   5     25  1.000 .400 .560     5.00     10     14      2 1
   4   6     24  1.500 .417 .500    10.00     10     12      1 1
   4   6     24  1.500 .458 .792     5.50     11     19      2 1
   4  18     72  4.500 .250 .528     2.57     18     38      7 1
   6   7     42  1.167 .357 .548     7.50     15     23      2 1
   5   7     35  1.400 .429 .886     2.50     15     31      6 1
   5   4     20   .800 .500 .800    10.00     10     16      1 1
  13  25    325  1.923 .234 .286    10.86     76     93      7 1
  13  25    325  1.923 .351 .680     6.00    114    221     19 1
   7  16    112  2.286 .321 .643     2.57     36     72     14 1
   7 103    721 14.714 .295 .691     1.76    213    498    121 1
  11   9     99   .818 .343 .626     3.40     34     62     10 1
  11   8     88   .727 .580 1.00     5.10     51     88     10 1
  11   8     88   .727 .409 .477    36.00     36     42      1 1
  11   8     88   .727 .602 1.00     5.89     53     88      9 1
  11  35    385  3.182 .382 .657     6.13    147    253     24 1
   3 113    339 37.667 .410 .472    13.90    139    160     10 2
   3  59    177 19.667 .475 .475    84.00     84     84      1 2
   2  20     40 10.000 .675 .675    27.00     27     27      1 2
   2 101    202 50.500 .540 .743    10.90    109    150     10 2
  10  38    380  3.800 .426 .947     3.12    162    360     52 1
   9  21    189  2.333 .429 .772     3.00     81    146     27 1
   9  37    333  4.111 .532 .913     3.22    177    304     55 1
  10  98    980  9.800 .379 .835     2.22    371    818    167 1
   9  50    450  5.556 .496 .958     2.69    223    431     83 1
   4 194    776 48.500 .263 .273    34.00    204    212      6 2
   2  18     36  9.000 .667 .694    24.00     24     25      1 2
   2  22     44 11.000 .750 .750    33.00     33     33      1 2
   2  18     36  9.000 .806 .833    29.00     29     30      1 2
   2  22     44 11.000 .705 .864    15.50     31     38      2 2
  10  66    660  6.600 .273 .661     1.94    180    436     93 1
   9  90    810 10.000 .260 .786     2.18    211    637     97 1
   9  22    198  2.444 .288 .818     2.48     57    162     23 1
   9  92    828 10.222 .286 .885     1.93    237    733    123 1
   9  12    108  1.333 .444 .981     1.71     48    106     28 1
   9  51    459  5.667 .296 .786     2.34    136    361     58 1
   9  34    306  3.778 .320 .886     1.56     98    271     63 1
   9  80    720  8.889 .333 .878     2.02    240    632    119 1
   8  95    760 11.875 .303 .937     1.77    230    712    130 1
  11  99   1089  9.000 .230 .601     2.14    250    654    117 1
  10  12    120  1.200 .367 1.00     1.69     44    120     26 1
  10  53    530  5.300 .294 .819     1.79    156    434     87 1
   9  92    828 10.222 .292 .843     2.05    242    698    118 1
  11  85    935  7.727 .257 .894     1.67    240    836    144 1
   9  83    747  9.222 .284 .849     1.91    212    634    111 1
   9  12    108  1.333 .454 1.00     1.69     49    108     29 1
   9  64    576  7.111 .299 .970     1.81    172    559     95 1
  11 102   1122  9.273 .223 .768     1.53    250    862    163 1
  12  12    144  1.000 .306 .979     1.69     44    141     26 1
  12  56    672  4.667 .256 .827     2.02    172    556     85 1
   9  84    756  9.333 .222 .937     1.81    168    708     93 1
   9  54    486  6.000 .292 .957     1.48    142    465     96 1
   9  41    369  4.556 .298 .775     1.90    110    286     58 1
  10  83    830  8.300 .266 .827     2.10    221    686    105 1
  10   4     40   .400 .375 .400    15.00     15     16      1 1
  12  11    132   .917 .371 1.00     1.63     49    132     30 1
  12  44    528  3.667 .261 .767     2.38    138    405     58 1
  10  34    340  3.400 .297 .885     1.71    101    301     59 1
   9  76    684  8.444 .307 .882     1.84    210    603    114 1
  12  14    168  1.167 .357 .958     2.31     60    161     26 1
  12   7     84   .583 .214 .583     3.60     18     49      5 1
  12  44    528  3.667 .294 .742     2.31    155    392     67 1
  10  63    630  6.300 .233 .705     1.69    147    444     87 1
   9  32    288  3.556 .271 .594     2.23     78    171     35 1
   3 116    348 38.667 .385 .494    33.50    134    172      4 2
   1  10     10 10.000 1.00 1.00    10.00     10     10      1 2
   1  13     13 13.000 1.00 1.00    13.00     13     13      1 2
   1   8      8  8.000 1.00 1.00     8.00      8      8      1 2
   1  44     44 44.000 .250 1.00     2.20     11     44      5 2
   2  20     40 10.000 .725 .875    29.00     29     35      1 2
   2  20     40 10.000 .775 .850    31.00     31     34      1 2
  13  10    130   .769 .300 .808     6.50     39    105      6 1
  11  86    946  7.818 .413 .853     3.10    391    807    126 1
  11  20    220  1.818 .168 .750     3.36     37    165     11 1
   9   5     45   .556 .378 .933     2.83     17     42      6 1
   8   3     24   .375 .417 .417    10.00     10     10      1 1
   3 113    339 37.667 .357 .378    30.25    121    128      4 2
  98   3    294   .031 .480 .486   141.00    141    143      1 4
   2  48     96 24.000 .625 .677    30.00     60     65      2 2
  11  65    715  5.909 .390 .877     2.61    279    627    107 1
   9  37    333  4.111 .526 .898     3.18    175    299     55 1
   9  21    189  2.333 .291 .762     1.57     55    144     35 1
   8   8     64  1.000 .234 .328     5.00     15     21      3 1
  10 100   1000 10.000 .436 .910     2.53    436    910    172 1
   9  85    765  9.444 .302 .812     1.82    231    621    127 1
   9  32    288  3.556 .302 .781     2.07     87    225     42 1
  11 101   1111  9.182 .398 .888     2.76    442    987    160 1
  11 119   1309 10.818 .261 .798     1.88    341   1045    181 1
  10 126   1260 12.600 .425 .862     2.68    536   1086    200 1
   9  13    117  1.444 .239 .462     4.67     28     54      6 1
   9  75    675  8.333 .256 .606     2.19    173    409     79 1
  11 119   1309 10.818 .236 .747     1.75    309    978    177 1
  10  44    440  4.400 .393 .852     3.15    173    375     55 1
   9  40    360  4.444 .356 .967     2.29    128    348     56 1
   8  48    384  6.000 .302 .914     1.76    116    351     66 1
   9  44    396  4.889 .460 .937     2.84    182    371     64 1
   9  47    423  5.222 .274 .747     2.42    116    316     48 1
   9  40    360  4.444 .319 .919     2.35    115    331     49 1
   3 116    348 38.667 .356 .371    62.00    124    129      2 2
   2  18     36  9.000 .722 .722    26.00     26     26      1 2
   3 132    396 44.000 .505 .558    20.00    200    221     10 2
   1  17     17 17.000 .765 1.00     3.25     13     17      4 2
   1   8      8  8.000 1.00 1.00     8.00      8      8      1 2
   2  69    138 34.500 .623 .906    10.75     86    125      8 2
   2  46     92 23.000 .587 .761    18.00     54     70      3 2
  11  77    847  7.000 .345 .874     2.43    292    740    120 1
   9  41    369  4.556 .301 .886     1.91    111    327     58 1
   1  57     57 57.000 .456 1.00     3.71     26     57      7 2
   1  10     10 10.000 .900 1.00     9.00      9     10      1 2
  14 185   2590 13.214 .254 .651     2.27    657   1687    289 1
  10 152   1520 15.200 .297 .778     2.17    452   1182    208 1
   2 116    232 58.000 .616 .802    17.88    143    186      8 2
   9 123   1107 13.667 .362 .986     2.62    401   1091    153 1
   2  17     34  8.500 .588 .971     6.67     20     33      3 2
  10 131   1310 13.100 .415 .857     2.74    543   1123    198 1
   1  12     12 12.000 .583 1.00     3.50      7     12      2 1
   6  27    162  4.500 .154 .481     2.78     25     78      9 1
   7  15    105  2.143 .324 .762     3.09     34     80     11 1
   7  58    406  8.286 .202 .751     2.34     82    305     35 1
   7  46    322  6.571 .155 .587     4.17     50    189     12 1
   1  27     27 27.000 .593 1.00     4.00     16     27      4 1
   7  17    119  2.429 .227 .580     2.70     27     69     10 1
   2  31     62 15.500 .194 .516     2.00     12     32      6 1
   1  12     12 12.000 .583 1.00     3.50      7     12      2 1
   2  17     34  8.500 .324 1.00     2.75     11     34      4 1
   2  11     22  5.500 .409 .955     9.00      9     21      1 1
   2  19     38  9.500 .237 1.00     1.80      9     38      5 1
   7 107    749 15.286 .270 .654     1.60    202    490    126 1
