classification,seed,tris,zoo,balance,eye,page
full,SVC,SVC,RANDFOREST,SVC,KNN,RANDFOREST
normalize,SVC,SVC,RANDFOREST,SVC,RANDFOREST,RANDFOREST
standardize,SVC,SVC,RANDFOREST,SVC,RANDFOREST,RANDFOREST
5.0%_eliminate_row,,SVC,,SVC,KNN,RANDFOREST
5.0%_mean,SVC,,,SVC,KNN,RANDFOREST
5.0%_median,SVC,,,SVC,KNN,RANDFOREST
5.0%_mode,,RANDFOREST,SVC,SVC,,
10.0%_eliminate_row,,RANDFOREST,,SVC,SVC,RANDFOREST
10.0%_mean,RANDFOREST,,,SVC,KNN,RANDFOREST
10.0%_median,RANDFOREST,,,SVC,KNN,RANDFOREST
10.0%_mode,,RANDFOREST,SVC,SVC,,
15.0%_eliminate_row,,RANDFOREST,,SVC,SVC,RANDFOREST
15.0%_mean,RANDFOREST,,,SVC,KNN,RANDFOREST
15.0%_median,SVC,,,SVC,KNN,RANDFOREST
15.0%_mode,,RANDFOREST,SVC,SVC,,
