regression,airfoil,auto,power_plant,compressive_strength,energy
full,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,SVR
normalize,RANDFORESTRegressor,SVR,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor
standardize,RANDFORESTRegressor,SVR,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor
5.0%_eliminate_row,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,SVR
5.0%_mean,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor
5.0%_median,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor
10.0%_eliminate_row,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor
10.0%_mean,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor
10.0%_median,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor
15.0%_eliminate_row,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor
15.0%_mean,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor
15.0%_median,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor,RANDFORESTRegressor
